field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"999","36047013200",G3600470013200,"47","13200","2010","36",Broooklyn,"47","13200","Census Tract 132, Brooklyn","1696","448","118","0","0","24","0","6","49","0","16","146","0","9","0","0","0","0","0","24","42","55","0","640","0","0","0","0","0","0","0","0","0","0","0","0","0","119","0","0","0",0.26,0.07,0,0,0.01,0,0,0.03,0,0.01,0.09,0,0.01,0,0,0,0,0,0.01,0.02,0.03,0,0.38,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.07,0,0,0,"8"
"1000","36047013300",G3600470013300,"47","13300","2010","36",Broooklyn,"47","13300","Census Tract 133, Brooklyn","3572","2896","185","123","82","37","15","0","0","0","0","0","11","9","0","0","0","0","0","0","0","0","0","181","14","0","0","0","0","0","0","10","0","0","0","0","0","0","9","0","0",0.81,0.05,0.03,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"1001","36047013400",G3600470013400,"47","13400","2010","36",Broooklyn,"47","13400","Census Tract 134, Brooklyn","3666","2041","247","47","0","83","0","12","0","0","41","208","106","9","0","0","0","0","0","15","61","0","23","456","63","60","0","0","0","0","0","16","0","0","0","0","0","160","0","0","18",0.56,0.07,0.01,0,0.02,0,0,0,0,0.01,0.06,0.03,0,0,0,0,0,0,0,0.02,0,0.01,0.12,0.02,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0.04,0,0,0,"10"
"1002","36047013500",G3600470013500,"47","13500","2010","36",Broooklyn,"47","13500","Census Tract 135, Brooklyn","3260","2805","291","29","0","0","0","0","0","0","25","0","5","0","8","0","0","0","0","0","0","0","0","21","36","28","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0",0.86,0.09,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"2"
"1003","36047013600",G3600470013600,"47","13600","2010","36",Broooklyn,"47","13600","Census Tract 136, Brooklyn","3711","2432","261","21","0","20","0","0","0","0","11","415","56","30","0","0","33","0","0","0","0","0","51","262","0","0","0","0","9","0","0","0","19","0","0","0","0","91","0","0","0",0.66,0.07,0.01,0,0.01,0,0,0,0,0,0.11,0.02,0.01,0,0,0.01,0,0,0,0,0,0.01,0.07,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.02,0,0,0,"6"
"1004","36047013700",G3600470013700,"47","13700","2010","36",Broooklyn,"47","13700","Census Tract 137, Brooklyn","3659","2473","858","45","0","39","106","30","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","6","42","32","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0",0.68,0.23,0.01,0,0.01,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1005","36047013800",G3600470013800,"47","13800","2010","36",Broooklyn,"47","13800","Census Tract 138, Brooklyn","3047","1138","459","0","0","102","0","9","0","13","10","143","137","56","34","40","0","0","0","24","93","0","26","100","10","0","0","0","0","0","38","22","24","0","0","0","0","569","0","0","0",0.37,0.15,0,0,0.03,0,0,0,0,0,0.05,0.04,0.02,0.01,0.01,0,0,0,0.01,0.03,0,0.01,0.03,0,0,0,"0",0,0,0.01,0.01,0.01,0,"0",0,0,0.19,0,0,0,"9"
"1006","36047013900",G3600470013900,"47","13900","2010","36",Broooklyn,"47","13900","Census Tract 139, Brooklyn","4036","2856","607","8","0","19","0","33","0","0","0","0","0","34","0","9","0","0","0","0","51","77","72","68","0","134","0","0","0","0","11","0","0","0","0","0","9","24","16","8","0",0.71,0.15,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0.03,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"6"
"1007","36047014000",G3600470014000,"47","14000","2010","36",Broooklyn,"47","14000","Census Tract 140, Brooklyn","2040","608","66","0","0","72","0","0","84","0","16","275","481","39","4","0","0","0","0","0","5","0","0","111","25","29","0","0","0","0","0","0","0","0","0","0","0","202","0","0","23",0.3,0.03,0,0,0.04,0,0,0.04,0,0.01,0.13,0.24,0.02,0,0,0,0,0,0,0,0,0,0.05,0.01,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0.1,0,0,0.01,"9"
"1008","36047014100",G3600470014100,"47","14100","2010","36",Broooklyn,"47","14100","Census Tract 141, Brooklyn","2700","1682","652","33","0","29","13","28","0","13","0","47","20","32","9","0","0","0","0","0","10","0","0","85","10","19","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0",0.62,0.24,0.01,0,0.01,0,0.01,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0,0,0,"4"
"1009","36047014200",G3600470014200,"47","14200","2010","36",Broooklyn,"47","14200","Census Tract 142, Brooklyn","2778","1349","450","0","0","33","0","11","0","0","18","387","95","0","0","15","0","0","21","20","0","0","35","117","0","0","0","0","0","0","0","0","0","0","0","0","11","216","0","0","0",0.49,0.16,0,0,0.01,0,0,0,0,0.01,0.14,0.03,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0.04,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.08,0,0,0,"6"
"1010","36047014300",G3600470014300,"47","14300","2010","36",Broooklyn,"47","14300","Census Tract 143, Brooklyn","3144","1855","1123","0","0","24","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","57","0","34","21","12","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0",0.59,0.36,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1011","36047014500",G3600470014500,"47","14500","2010","36",Broooklyn,"47","14500","Census Tract 145, Brooklyn","3778","1642","1455","0","0","46","10","17","0","0","14","17","21","268","0","40","0","0","0","0","0","53","0","10","49","10","0","0","0","0","0","0","0","0","0","0","0","114","12","0","0",0.43,0.39,0,0,0.01,0,0,0,0,0,0,0.01,0.07,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,"0",0,0,0,0,0,0,"0",0,0,0.03,0,0,0,"4"
"1012","36047014700",G3600470014700,"47","14700","2010","36",Broooklyn,"47","14700","Census Tract 147, Brooklyn","2002","1042","718","30","0","30","0","50","0","0","0","0","14","32","0","0","0","48","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0",0.52,0.36,0.01,0,0.01,0,0.02,0,0,0,0,0.01,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,"0",0,0,0,0,0,0.01,"0",0,0,0,0,0,0,"5"
"1013","36047014800",G3600470014800,"47","14800","2010","36",Broooklyn,"47","14800","Census Tract 148, Brooklyn","1114","875","7","0","0","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0",0.79,0.01,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.09,0,0,0,"3"
"1014","36047014900",G3600470014900,"47","14900","2010","36",Broooklyn,"47","14900","Census Tract 149, Brooklyn","4952","3836","778","57","10","0","0","0","0","42","0","0","0","48","0","0","0","0","0","0","0","12","0","9","140","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.77,0.16,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1015","36047015000",G3600470015000,"47","15000","2010","36",Broooklyn,"47","15000","Census Tract 150, Brooklyn","1667","1188","130","0","0","72","31","0","0","0","0","94","52","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","0","0","0",0.71,0.08,0,0,0.04,0.02,0,0,0,0,0.06,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.04,0,0,0,"8"
"1016","36047015100",G3600470015100,"47","15100","2010","36",Broooklyn,"47","15100","Census Tract 151, Brooklyn","3336","2711","302","76","0","8","41","49","0","0","0","0","6","9","0","26","0","8","0","0","0","0","0","36","0","31","0","0","0","0","0","0","0","0","0","0","0","11","22","0","0",0.81,0.09,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"3"
"1017","36047015300",G3600470015300,"47","15300","2010","36",Broooklyn,"47","15300","Census Tract 153, Brooklyn","2341","1912","195","86","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","15","7","0","12","0","0","27","0","0","0","0","0","0","0","0","0","0","41","9","7","0",0.82,0.08,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,"0",0,0,0,0,0,0,"0",0,0,0.02,0,0,0,"4"
"1018","36047015400",G3600470015400,"47","15400","2010","36",Broooklyn,"47","15400","Census Tract 154, Brooklyn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"0"
"1019","36047015500",G3600470015500,"47","15500","2010","36",Broooklyn,"47","15500","Census Tract 155, Brooklyn","3343","2820","221","27","0","26","0","88","0","0","0","40","28","12","0","0","0","0","0","0","24","0","0","50","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.84,0.07,0.01,0,0.01,0,0.03,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1020","36047015700",G3600470015700,"47","15700","2010","36",Broooklyn,"47","15700","Census Tract 157, Brooklyn","3522","2886","185","0","0","12","59","0","0","0","0","0","221","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","20","0","0","0","0","0","0","69","0","0","0",0.82,0.05,0,0,0,0.02,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,"0",0,0,0.01,0,0,0,"0",0,0,0.02,0,0,0,"6"
"1021","36047015900",G3600470015900,"47","15900","2010","36",Broooklyn,"47","15900","Census Tract 159, Brooklyn","5441","4765","225","126","0","58","0","0","15","15","0","16","28","15","0","3","0","0","0","3","0","13","0","17","117","0","0","0","0","0","0","8","17","0","0","0","0","0","0","0","0",0.88,0.04,0.02,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"1022","36047016000",G3600470016000,"47","16000","2010","36",Broooklyn,"47","16000","Census Tract 160, Brooklyn","3674","1592","473","0","10","33","0","0","0","0","9","99","36","116","189","91","0","0","17","24","43","0","125","160","0","74","0","0","0","0","0","10","9","0","0","0","0","564","0","0","0",0.43,0.13,0,0,0.01,0,0,0,0,0,0.03,0.01,0.03,0.05,0.02,0,0,0,0.01,0.01,0,0.03,0.04,0,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0.15,0,0,0,"10"
"1023","36047016100",G3600470016100,"47","16100","2010","36",Broooklyn,"47","16100","Census Tract 161, Brooklyn","2946","2240","406","70","0","41","0","36","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","9","9","73","0","0","0","0","0","0","9","0","0","0","0","47","0","0","0",0.76,0.14,0.02,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0.02,0,0,0,"5"
"1024","36047016200",G3600470016200,"47","16200","2010","36",Broooklyn,"47","16200","Census Tract 162, Brooklyn","2049","1136","140","0","0","34","0","0","0","0","0","87","194","0","0","0","0","0","0","0","0","0","0","122","0","34","0","0","0","0","0","68","11","0","0","0","0","213","10","0","0",0.55,0.07,0,0,0.02,0,0,0,0,0,0.04,0.09,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,"0",0,0,0,0.03,0.01,0,"0",0,0,0.1,0,0,0,"9"
"1025","36047027800",G3600470027800,"47","27800","2010","36",Broooklyn,"47","27800","Census Tract 278, Brooklyn","2587","696","84","0","0","196","0","0","72","0","0","0","367","19","0","70","0","0","0","0","0","0","52","892","0","0","0","0","0","0","0","88","16","0","0","0","0","35","0","0","0",0.27,0.03,0,0,0.08,0,0,0.03,0,0,0,0.14,0.01,0,0.03,0,0,0,0,0,0,0.02,0.34,0,0,0,"0",0,0,0,0.03,0.01,0,"0",0,0,0.01,0,0,0,"9"
"1026","36047027900",G3600470027900,"47","27900","2010","36",Broooklyn,"47","27900","Census Tract 279, Brooklyn","3033","2496","302","9","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","63","11","0","0","0","0","0","0","0","24","0","0","0","0","0","0","31","0",0.82,0.1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0,0.01,0,"4"
"1027","36047028000",G3600470028000,"47","28000","2010","36",Broooklyn,"47","28000","Census Tract 280, Brooklyn","1459","632","141","0","0","104","0","0","0","0","0","0","201","0","0","0","0","0","0","43","0","67","42","154","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0",0.43,0.1,0,0,0.07,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.03,0,0.05,0.03,0.11,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.05,0,0,0,"9"
"1028","36047028100",G3600470028100,"47","28100","2010","36",Broooklyn,"47","28100","Census Tract 281, Brooklyn","3877","2524","1314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0",0.65,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"2"
"1029","36047082000",G3600470082000,"47","82000","2010","36",Broooklyn,"47","82000","Census Tract 820, Brooklyn","5154","4199","495","46","338","28","0","16","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.81,0.1,0.01,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1030","36047082200",G3600470082200,"47","82200","2010","36",Broooklyn,"47","82200","Census Tract 822, Brooklyn","5549","3890","400","192","881","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","34","11","0","0","0","0","0","0","0","0","0","0","0","0","99","0","11","0",0.7,0.07,0.03,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.02,0,0,0,"5"
"1031","36047082400",G3600470082400,"47","82400","2010","36",Broooklyn,"47","82400","Census Tract 824, Brooklyn","4200","3000","382","212","524","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82","0",0.71,0.09,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.02,0,"5"
"1032","36047082600",G3600470082600,"47","82600","2010","36",Broooklyn,"47","82600","Census Tract 826, Brooklyn","5833","3760","350","204","1441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","0",0.64,0.06,0.03,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"4"
"1033","36047082800",G3600470082800,"47","82800","2010","36",Broooklyn,"47","82800","Census Tract 828, Brooklyn","3348","2293","109","171","708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","10","0",0.68,0.03,0.05,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"4"
"1034","36047083000",G3600470083000,"47","83000","2010","36",Broooklyn,"47","83000","Census Tract 830, Brooklyn","5268","4331","323","160","407","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","12","0",0.82,0.06,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"4"
"1035","36047083200",G3600470083200,"47","83200","2010","36",Broooklyn,"47","83200","Census Tract 832, Brooklyn","2334","1988","71","29","224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0",0.85,0.03,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"3"
"1036","36047083400",G3600470083400,"47","83400","2010","36",Broooklyn,"47","83400","Census Tract 834, Brooklyn","2119","1868","57","0","181","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.88,0.03,0,0.09,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1037","36047083600",G3600470083600,"47","83600","2010","36",Broooklyn,"47","83600","Census Tract 836, Brooklyn","2148","1873","0","80","136","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0",0.87,0,0.04,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.02,0,"4"
"1038","36047083800",G3600470083800,"47","83800","2010","36",Broooklyn,"47","83800","Census Tract 838, Brooklyn","2494","2292","97","12","81","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.92,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1039","36047084000",G3600470084000,"47","84000","2010","36",Broooklyn,"47","84000","Census Tract 840, Brooklyn","2426","1618","328","30","300","0","0","36","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","48","0",0.67,0.14,0.01,0.12,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0.02,0,0,"0",0,0,0,0,0.02,0,"5"
"1040","36047084600",G3600470084600,"47","84600","2010","36",Broooklyn,"47","84600","Census Tract 846, Brooklyn","1694","1562","0","65","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.92,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1041","36047084800",G3600470084800,"47","84800","2010","36",Broooklyn,"47","84800","Census Tract 848, Brooklyn","1834","1819","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"1"
"1042","36047085000",G3600470085000,"47","85000","2010","36",Broooklyn,"47","85000","Census Tract 850, Brooklyn","1438","1332","49","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.93,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1043","36047085200",G3600470085200,"47","85200","2010","36",Broooklyn,"47","85200","Census Tract 852, Brooklyn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"0"
"1044","36047085400",G3600470085400,"47","85400","2010","36",Broooklyn,"47","85400","Census Tract 854, Brooklyn","1750","1314","92","0","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0",0.75,0.05,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"3"
"1045","36047085600",G3600470085600,"47","85600","2010","36",Broooklyn,"47","85600","Census Tract 856, Brooklyn","3492","2939","265","11","258","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.84,0.08,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1046","36047085800",G3600470085800,"47","85800","2010","36",Broooklyn,"47","85800","Census Tract 858, Brooklyn","2420","2080","45","27","176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0",0.86,0.02,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0.02,0,0,0,"5"
"1047","36047086000",G3600470086000,"47","86000","2010","36",Broooklyn,"47","86000","Census Tract 860, Brooklyn","2837","2223","154","59","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0",0.78,0.05,0.02,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.06,0,"5"
"1048","36047086200",G3600470086200,"47","86200","2010","36",Broooklyn,"47","86200","Census Tract 862, Brooklyn","2895","2380","66","16","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.82,0.02,0.01,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"1049","36047086400",G3600470086400,"47","86400","2010","36",Broooklyn,"47","86400","Census Tract 864, Brooklyn","2399","2096","21","0","257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0",0.87,0.01,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"2"
"1050","36047086600",G3600470086600,"47","86600","2010","36",Broooklyn,"47","86600","Census Tract 866, Brooklyn","3073","2420","327","0","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","63","0",0.79,0.11,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0,0.02,0,"4"
"1051","36047086800",G3600470086800,"47","86800","2010","36",Broooklyn,"47","86800","Census Tract 868, Brooklyn","2832","2303","140","109","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.81,0.05,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"1052","36047118201",G3600470118201,"47","118201","2010","36",Broooklyn,"47","118201","Census Tract 1182.01, Brooklyn","2911","1165","1471","31","27","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.4,0.51,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1053","36047118202",G3600470118202,"47","118202","2010","36",Broooklyn,"47","118202","Census Tract 1182.02, Brooklyn","3191","1201","1778","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.38,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"1054","36047118400",G3600470118400,"47","118400","2010","36",Broooklyn,"47","118400","Census Tract 1184, Brooklyn","4855","1294","2991","0","25","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.27,0.62,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
