field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"241","36061010200",G3600610010200,"61","10200","2010","36",Manhattan,"61","10200","Census Tract 102, Manhattan","189","172","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.91,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"2"
"242","36061008000",G3600610008000,"61","8000","2010","36",Manhattan,"61","8000","Census Tract 80, Manhattan","4950","3854","348","68","0","96","17","57","0","0","42","11","62","51","0","0","13","11","15","0","0","29","0","72","16","57","0","0","0","0","0","23","80","0","0","0","13","0","15","0","0",0.78,0.07,0.01,0,0.02,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,"0",0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"4"
"243","36061012100",G3600610012100,"61","12100","2010","36",Manhattan,"61","12100","Census Tract 121, Manhattan","9251","5797","1666","120","0","170","28","29","0","0","36","46","82","25","24","0","0","0","86","157","0","153","30","338","71","214","0","0","0","0","0","68","27","0","0","0","0","17","52","0","15",0.63,0.18,0.01,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0,0.02,0,0.04,0.01,0.02,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0.01,0,0,"7"
"244","36061000600",G3600610000600,"61","600","2010","36",Manhattan,"61","600","Census Tract 6, Manhattan","10098","1798","1330","27","0","11","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","229","0","6631","0","13","0","0","0","0","0","15","0","0","0","0","0","25","0","0","0",0.18,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.66,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"245","36061009200",G3600610009200,"61","9200","2010","36",Manhattan,"61","9200","Census Tract 92, Manhattan","1585","1111","90","96","0","0","13","0","11","0","0","0","33","3","0","0","0","0","11","4","30","0","0","69","57","30","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0",0.7,0.06,0.06,0,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0.01,0,0.02,0,0,0.04,0.04,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0,0.02,0,0,"9"
"246","36061001200",G3600610001200,"61","1200","2010","36",Manhattan,"61","1200","Census Tract 12, Manhattan","3684","1916","852","10","0","10","0","0","141","0","0","0","154","0","0","0","10","0","0","0","0","12","0","403","11","0","0","0","0","0","0","0","0","0","0","0","0","0","165","0","0",0.52,0.23,0,0,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0.04,0,0,"6"
"247","36061005501",G3600610005501,"61","5501","2010","36",Manhattan,"61","5501","Census Tract 55.01, Manhattan","3853","2541","227","126","0","136","0","45","0","17","0","18","68","287","28","13","0","0","0","0","0","0","31","172","17","32","0","0","0","0","0","45","17","0","0","0","0","0","33","0","0",0.66,0.06,0.03,0,0.04,0,0.01,0,0,0,0,0.02,0.07,0.01,0,0,0,0,0,0,0,0.01,0.04,0,0.01,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0.01,0,0,"7"
"248","36061003002",G3600610003002,"61","3002","2010","36",Manhattan,"61","3002","Census Tract 30.02, Manhattan","2902","1867","522","94","0","44","14","0","0","0","9","9","23","42","0","22","0","0","0","0","29","40","0","159","10","0","0","0","0","0","0","0","10","0","0","0","0","0","0","8","0",0.64,0.18,0.03,0,0.02,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0.05,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"249","36061003100",G3600610003100,"61","3100","2010","36",Manhattan,"61","3100","Census Tract 31, Manhattan","2613","1768","103","0","0","12","17","0","18","0","0","11","73","0","0","0","0","0","0","0","0","0","54","374","0","95","0","0","0","0","0","35","0","0","0","0","17","0","36","0","0",0.68,0.04,0,0,0,0.01,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0.14,0,0.04,0,"0",0,0,0,0.01,0,0,"0",0,0.01,0,0.01,0,0,"6"
"250","36061001300",G3600610001300,"61","1300","2010","36",Manhattan,"61","1300","Census Tract 13, Manhattan","3336","2253","139","47","0","21","76","73","0","10","0","30","0","13","14","23","0","19","0","12","0","0","0","196","48","167","0","0","0","0","0","146","0","0","0","0","49","0","0","0","0",0.68,0.04,0.01,0,0.01,0.02,0.02,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0.06,0.01,0.05,0,"0",0,0,0,0.04,0,0,"0",0,0.01,0,0,0,0,"7"
